Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/15/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Bahamas, The",BHS,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,91.83641197,94.50777864,90.81265741,,,,95.43622222,92.16341916,88.41569105,89.65853958,84.32924662,65.69229201,49.66218445,37.45428186,40.25864222,,,,,,,0,,0,0.000476776,0,0.341470598,0,0.02871824,0,0,,0,0,0,0,0,0,0.002020524,0.002008101,0,0,,,,,
Bosnia and Herzegovina,BIH,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.482399497,7.798544065,8.77275348,8.030557309,7.731122518,9.64881928,13.1058867,14.96251495,13.83246048,8.796816119,11.24464629,9.396595726,6.808648958,6.664423851,8.20830997,9.513797565,7.880173367,
Belarus,BLR,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76463093,9.05706914,19.7874948,17.60128683,20.07700496,21.86294277,26.74095717,34.62934827,38.17807194,34.91930915,36.92703802,37.26633105,27.5490687,35.65378484,37.6416417,32.12514141,33.16786379,28.9159441,20.51034325,23.2618793,24.39964113,,
Belize,BLZ,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,1.554946775,2.561191338,2.552133378,2.116395776,0,0,,0,,,,,,,,,,0,0,0,0,0.000346466,0,0,45.61641204,0,,,0,0,9.66E-05,16.54786301,28.20803539,40.26231353,27.97245389,36.15245717,42.85129104,27.46286631,20.96708625,16.65826719,6.802222449,5.650173661,6.303917216,6.527012995,4.944905128,
Bermuda,BMU,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,3.650097871,10.38532336,13.35897294,27.88019825,34.43960198,34.46650666,41.68154871,39.78249927,55.03362435,44.37915876,37.83049537,0.090702357,0.8553627,0.001045766,0.002942026,,,0.063405467,0.001128604,0.002026214,0.005518141,0.070217057,0.003310315,,,,,,,,,,,,,,,,,,,6.320066191,,,0.08425699,0.18891746,0.158094075,0.063162236,,
Bolivia,BOL,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,1.939678559,2.200444492,0.642442449,0.575444257,4.407186206,13.75621485,14.23490873,11.69943716,4.53113212,11.05982221,17.29745297,18.619047,29.82621321,29.04660933,26.29405424,18.56661142,16.67094138,13.5671612,23.65759818,34.17264518,44.49172389,51.37929334,49.78633494,55.65878447,52.26803665,44.93888921,36.64326333,26.17184674,24.56523474,26.76339935,16.51851237,13.97550758,10.64992016,14.55379592,13.07387351,9.216483848,7.963144347,5.625638277,12.97666808,24.08172555,26.72021479,31.45651984,38.15193307,49.21370362,50.35214523,49.17656539,52.30357865,40.00696879,43.86226584,46.71349175,55.00459487,57.04317306,57.84361659,50.32564501,34.58850784,38.32339914,40.25348499,,
Brazil,BRA,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,0.612005556,0.669628343,0.186358953,0.000485497,,0.05040879,0.033904542,0.144149331,0.581632321,0.827027019,1.002191414,1.347984625,1.391583021,2.315376357,2.474801621,1.786915043,1.551282706,1.495972639,1.776016921,5.055655122,7.155709153,5.29088506,6.767884569,6.356257736,3.124674882,3.607937338,2.672332279,2.473252535,2.15987393,1.365211328,1.597165548,1.652680038,1.810205265,0.874509604,0.890640553,0.609968622,0.719941952,0.836684208,1.643350194,3.582627107,4.883448149,5.193161402,4.567795539,5.983345354,7.708439385,8.289251019,9.459411643,8.999659134,9.905787556,10.54474205,11.02714286,7.435762062,9.246522347,7.265044489,6.34469228,8.700852808,12.49701359,13.6598151,
Barbados,BRB,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,1.201257277,1.054235825,1.34833737,1.269053198,0.237487728,0.59874987,0.783441053,1.657730316,1.231928567,0.958451714,0.345762529,0.544779681,0.199038603,0.17669393,0.151809503,0.240775705,0.346710742,0.330386185,0.001150308,0.014014617,18.05748179,16.57050267,19.37149531,27.52465732,28.38340106,0.042349491,0.12244203,0.024774928,0.024585798,0.00760667,0.008411908,2.961349918,5.729642709,8.624427778,5.13270533,3.737827165,7.465995536,8.825210579,7.896872935,9.421866682,22.98840669,8.509967831,5.18462777,0.021633232,7.378605979,10.80756093,9.206663556,9.42637536,5.564839393,3.551638186,5.232462428,4.655721281,,
Brunei Darussalam,BRN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,98.1962784,98.64924038,98.72202034,99.01582682,99.20986543,99.45899574,99.44470716,99.25106098,99.194803,99.10619207,99.45831113,99.61368712,99.79785052,99.89109501,99.89321051,99.92727513,99.93403162,99.93187082,99.96906497,99.95511669,99.9560083,99.94386263,99.9437254,99.93343027,99.94623239,99.95465087,99.75806535,99.63513794,99.47779099,99.34037802,99.25907212,99.70904025,98.69373625,,,91.11113809,88.57735273,,,95.30602963,93.22572874,94.38116106,91.40943088,,96.32861909,96.14531126,97.81516945,96.06223429,95.15038672,95.44218965,95.74848579,96.52759606,92.53989246,92.97980923,87.88392637,89.72629538,95.56414019,90.56979891,
Bhutan,BTN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.08194102,22.05938547,28.07104682,25.61839269,,,,30.99835513,41.94140767,,,,,,30.93710958,27.18582534,36.51445985,48.917514,42.46872382,1.179381166,1.326033846,32.91664734,,,,,,,,
Botswana,BWA,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081775741,0.06517265,0.017432925,0.041123502,0.035228958,0.085236909,0.133620186,0.241992605,0.300339258,0.315765228,0.184071509,0.404507892,1.000529522,0.689469204,0.723163114,0.502180719,0.170939776,0.15003115,0.184681721,0.293697438,
Central African Republic,CAF,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,2.131822574,,0.754858025,0.829299826,0.170004294,0.432015276,0.239749276,0.300227697,0.18919196,0.135378909,,0.459046279,0.009479398,0.003232246,,,,,,,,,,,,,,0.004255164,,,,0.173432501,0.395946062,0.782708693,0.190305805,0.108426711,0.196831191,0.153823272,0.454833137,0.075533152,0.07791077,0,0.183296701,0.399585643,0.013490207,,0.024434211,,,0.558397644,0.046875275,0.093596195,,0.011315874,0.046736866,0.006971856,,,
Canada,CAN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,8.787815877,5.024692448,4.961415174,5.088761337,4.838013237,5.287258946,5.134353535,5.406911253,6.044943865,7.138096002,8.593247427,9.78095975,15.79841431,16.51258952,13.81145371,12.52250698,10.92413825,13.20936133,14.27829163,13.84095542,14.33535319,13.75951479,13.10294166,14.0507464,9.654047053,10.10085783,9.121016887,9.3233153,10.04398695,10.92705601,10.47553032,10.66621128,9.833281375,9.189383925,10.59093027,10.28270935,8.308141832,8.53399767,14.16584469,15.36891885,12.67978164,16.21372455,17.87473609,21.60042667,21.40127614,22.41729349,29.69570832,25.04006151,26.2948485,28.60467285,26.55798911,27.3268577,29.92180488,21.32349676,18.28423846,22.74034019,24.73595763,24.97924604,
Central Europe and the Baltics,CEB,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.898427789,6.863269327,5.567220606,5.595612281,5.129744463,4.221159374,4.106475233,5.058891679,5.026606981,4.893129241,4.269271635,5.098761599,5.774076096,5.577033505,4.657587522,5.584507864,4.895808082,5.369016504,6.04463016,6.203938658,5.596370845,4.991033541,4.621007449,3.34618169,3.602184318,3.677575862,3.379547834,
